Lap,Category,Message,Flag,Scope,Sector,RacingNumber
18,Flag,CLEAR IN TRACK SECTOR 16,CLEAR,Sector,16.0,
19,Other,TURN 6 INCIDENT INVOLVING CARS 10 (GAS) AND 3 (VER) NOTED - MOVING UNDER BRAKING,,,,
20,Other,TURN 15 INCIDENT INVOLVING CARS 87 (BEA) AND 41 (LIN) NOTED ,,,,
20,Other,CAR 87 (BEA) TIME 1:39.289 DELETED - TRACK LIMITS AT TURN 14 LAP 15 15:31:26,,,,
21,Other,FIA STEWARDS: TURN 15 INCIDENT INVOLVING CARS 87 (BEA) AND 41 (LIN) REVIEWED NO FURTHER INVESTIGATION ,,,,
22,Other,TURN 6 INCIDENT INVOLVING CARS 10 (GAS) AND 3 (VER) NOTED - MOVING UNDER BRAKING,,,,
23,Other,FIA STEWARDS: TURN 6 INCIDENT INVOLVING CARS 10 (GAS) AND 3 (VER) REVIEWED NO FURTHER INVESTIGATION - MOVING UNDER BRAKING,,,,
24,Other,TURN 15 INCIDENT INVOLVING CARS 30 (LAW) AND 41 (LIN) NOTED - FORCING ANOTHER DRIVER OFF THE TRACK,,,,
24,Other,CAR 41 (LIN) TIME 1:39.780 DELETED - TRACK LIMITS AT TURN 14 LAP 21 15:41:22,,,,
26,Other,FIA STEWARDS: TURN 6 INCIDENT INVOLVING CARS 10 (GAS) AND 3 (VER) REVIEWED NO FURTHER INVESTIGATION - MOVING UNDER BRAKING,,,,
28,Flag,DOUBLE YELLOW IN TRACK SECTOR 17,DOUBLE YELLOW,Sector,17.0,
28,Flag,CLEAR IN TRACK SECTOR 17,CLEAR,Sector,17.0,
28,Other,CAR 41 (LIN) TIME 1:50.154 DELETED - TRACK LIMITS AT TURN 14 LAP 27 15:51:26,,,,
29,Other,FIA STEWARDS: TURN 15 INCIDENT INVOLVING CARS 30 (LAW) AND 41 (LIN) REVIEWED NO FURTHER INVESTIGATION - FORCING ANOTHER DRIVER OFF THE TRACK,,,,
33,Flag,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 15:59:26,BLUE,Driver,,14
33,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,DOUBLE YELLOW,Sector,3.0,
33,Flag,CLEAR IN TRACK SECTOR 3,CLEAR,Sector,3.0,
33,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 3,,,,
34,Other,TURN 2 INCIDENT INVOLVING CARS 31 (OCO) AND 43 (COL) NOTED - CAUSING A COLLISION,,,,
34,Other,FIA STEWARDS: TURN 2 INCIDENT INVOLVING CARS 31 (OCO) AND 43 (COL) UNDER INVESTIGATION - CAUSING A COLLISION,,,,
35,Flag,CLEAR IN TRACK SECTOR 3,CLEAR,Sector,3.0,
35,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 5,,,,
35,Flag,CLEAR IN TRACK SECTOR 5,CLEAR,Sector,5.0,
36,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 9,,,,
37,Other,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 31 (OCO) - CAUSING A COLLISION,,,,
37,Flag,CLEAR IN TRACK SECTOR 9,CLEAR,Sector,9.0,
40,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 16:10:50,BLUE,Driver,,11
40,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:11:31,BLUE,Driver,,77
42,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 16:13:36,BLUE,Driver,,11
42,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:14:09,BLUE,Driver,,77
43,Flag,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 16:15:38,BLUE,Driver,,27
43,Flag,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 16:16:10,BLUE,Driver,,31
45,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 16:18:38,BLUE,Driver,,11
45,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 16:19:13,BLUE,Driver,,11
46,Flag,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 16:20:12,BLUE,Driver,,31
47,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:21:16,BLUE,Driver,,77
47,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:22:27,BLUE,Driver,,77
48,Flag,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 16:23:49,BLUE,Driver,,27
48,Flag,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 16:23:59,BLUE,Driver,,27
49,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 16:25:30,BLUE,Driver,,11
50,Flag,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 16:26:51,BLUE,Driver,,43
51,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 16:27:38,BLUE,Driver,,11
51,Other,FIA STEWARDS: PENALTY SERVED - 10 SECOND TIME PENALTY FOR CAR 31 (OCO) - CAUSING A COLLISION,,,,
51,Flag,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 16:28:09,BLUE,Driver,,55
53,Flag,YELLOW IN TRACK SECTOR 17,YELLOW,Sector,17.0,
53,Flag,CLEAR IN TRACK SECTOR 17,CLEAR,Sector,17.0,
54,Other,CAR 12 (ANT) TIME 1:37.530 DELETED - TRACK LIMITS AT TURN 14 LAP 53 16:32:14,,,,
54,Flag,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 16:33:18,BLUE,Driver,,43
54,Flag,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 16:33:52,BLUE,Driver,,55
56,Flag,CHEQUERED FLAG,CHEQUERED,Track,,
56,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:38:07,BLUE,Driver,,77
56,Other,ALL PASS HOLDERS MAY ACCESS THE PIT LANE,,,,
