Lap,Category,Message,Flag,Scope,Sector,RacingNumber
29,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:45:10,BLUE,Driver,,11
29,Flag,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 15:45:59,BLUE,Driver,,43
29,Flag,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 15:46:03,BLUE,Driver,,43
30,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:46:11,BLUE,Driver,,11
30,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 31 (OCO) WILL BE INVESTIGATED AFTER THE RACE - DRIVING UNNECESSARILY SLOWLY,,,,
31,Flag,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 15:48:24,BLUE,Driver,,14
31,Flag,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 15:48:52,BLUE,Driver,,43
32,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:49:31,BLUE,Driver,,18
33,Flag,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 15:50:29,BLUE,Driver,,14
33,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:50:29,BLUE,Driver,,11
33,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:50:39,BLUE,Driver,,11
33,Other,FIA STEWARDS: TURN 3 INCIDENT INVOLVING CARS 31 (OCO) AND 10 (GAS) NO FURTHER ACTION,,,,
33,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:51:22,BLUE,Driver,,11
33,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 13,,,,
33,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:51:34,BLUE,Driver,,11
34,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:51:47,BLUE,Driver,,18
34,SafetyCar,VSC DEPLOYED,,,,
34,Flag,CLEAR IN TRACK SECTOR 13,CLEAR,Sector,13.0,
34,Flag,DOUBLE YELLOW IN TRACK SECTOR 13,DOUBLE YELLOW,Sector,13.0,
34,Other,MARSHALS ON TRACK AT TURN 8,,,,
34,Flag,DOUBLE YELLOW IN TRACK SECTOR 12,DOUBLE YELLOW,Sector,12.0,
34,Flag,CLEAR IN TRACK SECTOR 13,CLEAR,Sector,13.0,
34,Flag,CLEAR IN TRACK SECTOR 12,CLEAR,Sector,12.0,
34,SafetyCar,VSC ENDING,,,,
34,Flag,TRACK CLEAR,CLEAR,Track,,
34,Flag,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 15:53:11,BLUE,Driver,,14
35,Flag,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 15:53:24,BLUE,Driver,,43
35,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 11 (PER) REVIEWED NO FURTHER INVESTIGATION - IGNORING BLUE FLAGS,,,,
35,Flag,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 15:53:36,BLUE,Driver,,23
35,Flag,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 15:54:34,BLUE,Driver,,55
36,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:55:17,BLUE,Driver,,18
36,Flag,WAVED BLUE FLAG FOR CAR 30 (LAW) TIMED AT 15:55:32,BLUE,Driver,,30
37,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:56:10,BLUE,Driver,,11
37,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:56:26,BLUE,Driver,,11
37,Flag,WAVED BLUE FLAG FOR CAR 30 (LAW) TIMED AT 15:56:33,BLUE,Driver,,30
37,Flag,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 15:57:08,BLUE,Driver,,43
38,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:57:39,BLUE,Driver,,11
39,Flag,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 16:00:04,BLUE,Driver,,23
40,Flag,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 16:01:23,BLUE,Driver,,55
41,Flag,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 16:01:42,BLUE,Driver,,55
41,Flag,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 16:01:57,BLUE,Driver,,43
41,Flag,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 16:02:46,BLUE,Driver,,23
42,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 16:03:10,BLUE,Driver,,11
43,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 16:04:39,BLUE,Driver,,11
45,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 16:07:12,BLUE,Driver,,11
45,Flag,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 16:07:53,BLUE,Driver,,31
45,Flag,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 16:08:06,BLUE,Driver,,31
45,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 16:08:21,BLUE,Driver,,11
46,Flag,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 16:08:37,BLUE,Driver,,10
46,Flag,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 16:08:53,BLUE,Driver,,10
47,Flag,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 16:10:34,BLUE,Driver,,55
47,Flag,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 16:11:10,BLUE,Driver,,43
47,Flag,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 16:11:12,BLUE,Driver,,31
48,Flag,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 16:11:24,BLUE,Driver,,55
48,Flag,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 16:11:41,BLUE,Driver,,10
48,Flag,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 16:12:39,BLUE,Driver,,43
49,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 16:13:10,BLUE,Driver,,11
50,Flag,WAVED BLUE FLAG FOR CAR 55 (SAI) TIMED AT 16:14:14,BLUE,Driver,,55
50,Flag,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 16:14:48,BLUE,Driver,,43
50,Flag,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 16:15:16,BLUE,Driver,,43
51,Flag,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 16:16:16,BLUE,Driver,,31
51,Flag,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 16:16:31,BLUE,Driver,,31
52,Flag,WAVED BLUE FLAG FOR CAR 5 (BOR) TIMED AT 16:16:54,BLUE,Driver,,5
52,Flag,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 16:17:14,BLUE,Driver,,31
52,Flag,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 16:17:15,BLUE,Driver,,10
53,Flag,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 16:18:19,BLUE,Driver,,10
53,Flag,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 16:18:25,BLUE,Driver,,10
53,Flag,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 16:19:24,BLUE,Driver,,43
53,Flag,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 16:19:30,BLUE,Driver,,43
54,Flag,WAVED BLUE FLAG FOR CAR 41 (LIN) TIMED AT 16:19:57,BLUE,Driver,,41
54,Flag,WAVED BLUE FLAG FOR CAR 5 (BOR) TIMED AT 16:20:18,BLUE,Driver,,5
55,Flag,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 16:21:07,BLUE,Driver,,43
55,Flag,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 16:21:16,BLUE,Driver,,43
55,Flag,WAVED BLUE FLAG FOR CAR 41 (LIN) TIMED AT 16:21:21,BLUE,Driver,,41
55,Flag,WAVED BLUE FLAG FOR CAR 43 (COL) TIMED AT 16:21:49,BLUE,Driver,,43
56,Other,CAR 55 (SAI) TIME 1:27.961 DELETED - TRACK LIMITS AT TURN 3 LAP 53 16:21:48,,,,
57,Flag,WAVED BLUE FLAG FOR CAR 87 (BEA) TIMED AT 16:24:29,BLUE,Driver,,87
57,Flag,WAVED BLUE FLAG FOR CAR 30 (LAW) TIMED AT 16:24:47,BLUE,Driver,,30
57,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 16:24:53,BLUE,Driver,,11
58,Flag,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 16:25:22,BLUE,Driver,,23
58,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 16:25:22,BLUE,Driver,,11
58,Flag,WAVED BLUE FLAG FOR CAR 30 (LAW) TIMED AT 16:25:50,BLUE,Driver,,30
58,Flag,WAVED BLUE FLAG FOR CAR 87 (BEA) TIMED AT 16:26:04,BLUE,Driver,,87
58,Flag,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 16:26:06,BLUE,Driver,,23
58,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 16:26:18,BLUE,Driver,,11
58,Flag,CHEQUERED FLAG,CHEQUERED,Track,,
58,Other,ALL PASS HOLDERS MAY ACCESS THE PIT LANE,,,,
58,Flag,DOUBLE YELLOW IN TRACK SECTOR 19,DOUBLE YELLOW,Sector,19.0,
58,Flag,CLEAR IN TRACK SECTOR 19,CLEAR,Sector,19.0,
